timestamp,frame_index,target_id,meter_conf,display_conf,meter_cx,meter_cy,display_cx,display_cy,target_source,depth_m,camera_x_m,camera_y_m,camera_z_m,smooth_x_m,smooth_y_m,smooth_z_m,has_display
1787399911.173383,54,2,0.937728,0.911693,735,552,742,499,meter,0.795000,0.075623,0.186688,0.795000,0.075623,0.186454,0.795000,1
1787399911.173383,54,3,0.942169,0.953314,899,557,900,496,meter,0.813000,0.224978,0.196329,0.813000,0.223594,0.195604,0.807000,1
1787399911.332566,55,1,0.930976,0.927642,737,262,737,210,meter,0.820500,0.059878,-0.099614,0.820500,0.060453,-0.099432,0.819500,1
1787399911.332566,55,2,0.939173,0.902637,735,552,742,499,meter,0.794000,0.075528,0.185572,0.794000,0.075623,0.186454,0.795000,1
1787399911.332566,55,3,0.940037,0.948883,899,555,900,497,meter,0.804000,0.222487,0.192371,0.804000,0.223318,0.195604,0.807000,1
1787399911.4736333,56,1,0.930963,0.922347,737,261,737,210,meter,0.819500,0.059805,-0.100402,0.819500,0.060453,-0.099432,0.819500,1
1787399911.4736333,56,2,0.938344,0.914415,735,555,742,499,meter,0.796000,0.075718,0.189573,0.796000,0.075623,0.186454,0.795000,1
1787399911.4736333,56,3,0.944505,0.951276,899,557,900,497,meter,0.808000,0.223594,0.195121,0.808000,0.223594,0.195604,0.807000,1
1787399911.6106758,57,1,0.929347,0.926174,737,262,737,210,meter,0.820000,0.079817,-0.073163,0.820000,0.060638,-0.099432,0.819500,1
1787399911.6106758,57,2,0.938243,0.900454,735,554,742,499,meter,0.792000,0.075338,0.187742,0.792000,0.075528,0.186454,0.794000,1
1787399911.6106758,57,3,0.944856,0.956273,899,556,900,496,meter,0.806000,0.223041,0.193744,0.806000,0.223318,0.195121,0.807000,1
1787399911.752465,58,1,0.932140,0.924276,737,261,737,210,meter,0.821500,0.060860,-0.100647,0.821500,0.060638,-0.099493,0.819500,1
1787399911.752465,58,2,0.938965,0.909242,735,553,742,499,meter,0.793000,0.075433,0.186219,0.793000,0.075528,0.186454,0.794000,1
1787399911.752465,58,3,0.941169,0.951033,899,558,900,497,meter,0.808000,0.223594,0.196915,0.808000,0.223594,0.195604,0.807000,1
1787399911.917251,59,1,0.931181,0.923577,737,262,737,210,meter,0.821500,0.059951,-0.099736,0.821500,0.060638,-0.099493,0.820000,1
